,Name,Industry,Sector,Headquarters,Founded,Notes,Status_Type,Status_State
0,63 Moons Technologies,Technology,Software,Mumbai,1988,Financial technology,P,A
1,Aban Offshore,Energy,Oil & gas offshore drilling & other services,Chennai,1986,"Oil, petrochemical",P,A
2,ABG Shipyard,Industrials,Shipbuilding,Ahmedabad,1985,Ship building,P,A
3,ABP Group,Consumer services,Broadcasting & entertainment,Kolkata,1922,"Media, news",P,A
4,ACC,Industrials,Cement,Mumbai,1936,Cement,P,A
5,ACG Group,Industrials,Machinery: specialty,Mumbai,1961,Pharmaceutical industry machinery & medicinal materials manufacturer,P,A
6,Acko General Insurance,Insurance,Full line insurance,Mumbai,2016,Insurance,P,A
7,Action Construction Equipment,Industrials,Machinery: construction & handling,Faridabad,1995,"Bulldozers, cranes",P,A
8,Action Group,Conglomerate,—,New Delhi,1972,"Apparel, chemicals, retail, steel",P,A
9,Adani Group,Conglomerate,—,Ahmedabad,1988,Conglomerate,P,A
10,Adani Power,Utilities,Alternative electricity,Mumbai,1910,"Thermal & solar power generation, part of Adani Group",P,A
11,Aditya Birla Fashion and Retail,Retail,Apparel retailers,Mumbai,1997,Clothing retailer,P,A
12,Aditya Birla Group,Conglomerate,—,Mumbai,1857,"Agribusiness, cement, chemicals",P,A
13,Ador Group,Conglomerate,—,Mumbai,1977,"Electronics, energy, chemicals",P,A
14,Advanced Weapons and Equipment India,Industrials,Defense,Kanpur,2021,Weapons,S,A
15,Afcons Infrastructure,Industrials,Construction,Mumbai,1959,Constructions,P,A
16,Agriculture Insurance Company of India,Insurance,Full line insurance,New Delhi,2002,Insurance,S,A
17,Air Costa,Consumer services,Airlines,Vijayawada,2013,Defunct 2017,P,D
18,Air India,Consumer services,Airlines,New Delhi,1932,"Airline, part of Tata Sons",P,A
19,Air India Express,Consumer services,Airlines,Kochi,2005,"Low-cost airline, part of Air India",P,A
20,Ajanta Group,Conglomerate,—,Ahmedabad,1971,"Textile, transport, construction machinery",P,A
21,Alkem Laboratories,Health care,Pharmaceuticals,Mumbai,1973,Pharma,P,A
22,Allcargo Logistics,Industrials,Industrial transportation,Mumbai,1993,Logistics & transportation,P,A
23,Amartex,Basic materials,Textile products,Gurugram,1984,Textiles,P,A
24,Ambuja Cements,Industrials,Cement,Mumbai,1983,Cement,P,A
25,Amrutanjan Healthcare,Health care,Ayurvedic producers,Chennai,1893,Alternative medicines,P,A
26,Amul,Consumer goods,Food products,Anand,1946,Dairy,P,A
27,Angel One,Financials,Investment services,Mumbai,1996,Stock broker,P,A
28,Apollo Hospitals,Health care,Health care providers,Chennai,1983,Hospital chain,P,A
29,Apollo Tyres,Consumer goods,Tires,Gurugram,1972,"Tyres, parts",P,A
30,Aptech,Industrials,Business training & employment agencies,Mumbai,1986,Training,P,A
31,Archies,Retail,Specialty retailers,New Delhi,1979,Greeting cards,P,A
32,Arise India,Consumer goods,Consumer electronics,Delhi,1995,"Electrical goods, home appliances",P,A
33,Armoured Vehicles Nigam,Industrials,Defense,Chennai,2021,Armoured military vehicles,S,A
34,Artemis Hospital,Health care,Health care providers,Gurugram,2007,Hospitals,P,A
35,Arvind,Conglomerate,—,Ahmedabad,1931,"Clothing, engineering, real estate",P,A
36,Ashok Leyland,Industrials,Commercial vehicles & parts,Chennai,1948,"Bus, trucks, defense vehicles, joint venture of Hinduja Group & Nissan (Japan)",P,A
37,Asia MotorWorks,Industrials,Commercial vehicles & parts,Mumbai,2002,Trucks,P,A
38,Asian Paints,Industrials,Paints and coatings,Mumbai,1942,Paints,P,A
39,Atul,Chemicals,Chemicals: diversified,Ahmedabad,1947,Integrated chemicals,P,A
40,Atul Auto,Consumer goods,Automobiles,Rajkot,1970,Auto-rickshaws,P,A
41,Avantha Group,Conglomerate,—,New Delhi,1919,"Chemicals, I/T, BPO",P,A
42,Axis Bank,Financials,Banks,Ahmedabad,1993,,P,A
43,Bajaj Auto,Consumer goods,Automobiles,Pune,1945,"Motorcycles, part of Bajaj Group",P,A
44,Bajaj Group,Conglomerate,—,Pune,1945,"Motorcycles, financial services, electricals, sugar, iron & steel, insurance, consumer goods",P,A
45,Balaji Telefilms,Consumer services,Broadcasting & entertainment,Mumbai,1994,Film production,P,A
46,Balaji Wafers,Consumer goods,Food products,Mumbai,1975,Potato chips,P,A
47,Ballarpur Industries,Basic materials,Paper,Gurugram,1945,Paper,P,A
48,Bank of Baroda,Financials,Banks,Vadodara,1908,State-owned bank,S,A
49,Bank of India,Financials,Banks,Mumbai,1906,Government-owned bank,S,A
50,Bellatrix Aerospace,Industrials,"Aerospace, space industry",Bengaluru,2015,Launch vehicles & satellites,P,A
51,BEML,Industrials,Commercial vehicles & parts,Bengaluru,1964,"Defense vehicles, heavy construction vehicles, rail vehicles",S,A
52,Bharat Aluminium Company,Basic materials,Aluminium,New Delhi,1965,"Aluminium, part of Vedanta Resources (UK)",P,A
53,Bharat Biotech,Health care,Pharmaceuticals & biotechnology,Hyderabad,1996,Drug development & vaccines,P,A
54,Bharat Dynamics Limited,Industrials,Aerospace & defense,Hyderabad,1970,"State-owned missiles, defense",S,A
55,Bharat Electronics,Industrials,Aerospace & defense,Bengaluru,1954,"State-owned electronics, defense",S,A
56,Bharat Forge,Industrials,Industrial engineering,Pune,1961,"Engineering and machinery, part of Kalyani Group",P,A
57,Bharat Heavy Electricals Limited,Industrials,Electrical equipment & components,New Delhi,1964,State electrical engineering,S,A
58,Bharat Petroleum,Energy,Oil refining & marketing,Mumbai,1976,"refineries, petrochemical",S,A
59,Bharat Sanchar Nigam Limited,Telecommunications,Telecommunications service providers,New Delhi,2000,Fixed-line telecommunications,S,A
60,BHAVINI,Utilities,Conventional electricity,Chennai,2003,State nuclear power generation,S,A
61,Bharti Airtel,Telecommunications,Telecommunications services,New Delhi,1995,Mobile network,P,A
62,Biocon,Health care,Pharmaceuticals & biotechnology,Bengaluru,1978,Pharmaceutical ingredients,P,A
63,Blue Star,Consumer goods,Consumer electronics,Mumbai,1943,Home appliances,P,A
64,BluSmart,Technology,Consumer digital services,Gurugram,2019,"Taxi services, ride-sharing",P,A
65,Bombay Dyeing,Basic materials,Textile products,Mumbai,1879,Textiles,P,A
66,Bonn Group of Industries,Consumer goods,Food products,Ludhiana,1985,Baked goods,P,A
67,Borosil,Industrials,Glass,Mumbai,1962,Glassware,P,A
68,BPL Group,Consumer goods,Consumer electronics,Palakkad,1963,"Consumer electronics, healthcare equipment",P,A
69,BrahMos Aerospace,Industrials,Aerospace & defense,New Delhi,1998,"State-owned missile systems, joint venture with Tactical Missiles Corporation (Russia)",S,A
70,Brigade Group,Real estate,Real estate holding & development,Bengaluru,1986,Real estate,P,A
71,Britannia Industries,Consumer goods,Food products,Kolkata,1892,Food products,P,A
72,Café Coffee Day,Consumer services,Restaurants & bars,Bengaluru,1996,Cafe chain,P,A
73,Canara Bank,Financials,Banks,Bengaluru,1906,State-owned bank,S,A
74,CaratLane,Retail,Specialty retailers,Chennai,2008,"Luxury items retail, owned by Titan Company",P,A
75,CEAT,Consumer goods,Tires,Mumbai,1958,Tyres,P,A
76,Celkon,Consumer goods,Consumer electronics,Hyderabad,2009,Mobile handsets,P,A
77,Central Bank of India,Financials,Banks,Mumbai,1911,Central bank,S,A
78,Centum Electronics,Industrials,Electronic equipment & components,Bengaluru,1993,Electronics,P,A
79,Century Plyboards,Industrials,Building materials: other,Kolkata,1986,Plywood,P,A
80,CESC Limited,Utilities,Conventional electricity,Kolkata,1897,Thermal power generation,P,A
81,CG Power and Industrial Solutions,Industrials,Diversified industrials,Mumbai,1878,"Electrical engineering, power generation",P,A
82,Chennai Petroleum Corporation,Energy,Oil refining & marketing,Chennai,1965,"refineries, part of Indian Oil Corporation",S,A
83,Cipla,Health care,Pharmaceuticals,Mumbai,1935,Pharma,P,A
84,City Union Bank,Financials,Banks,Kumbakonam,1904,Bank,P,A
85,CMC,Industrials,Business support services,New Delhi,1975,Information technology consulting,P,A
86,Coal India,Energy,Coal,Kolkata,1975,Coal mining,S,A
87,Cochin Minerals and Rutile Limited,Chemicals,Specialty chemicals,Kochi,1989,Minerals,P,A
88,Cochin Shipyard,Industrials,Shipbuilding,Kochi,1972,Ship building,S,A
89,Computer Age Management Services,Financials,Investment services,Chennai,1988,"Stock market, mutual funds",P,A
90,Container Corporation of India,Industrials,Railroads,New Delhi,1988,"Cargo rail transportation, part of Indian Railways",S,A
91,Coromandel International,Chemicals,Fertilizers,Hyderabad,1960,"Fertilizers, pesticides",P,A
92,Cosmic Circuits,Technology,Semiconductors,Bengaluru,2005,Acquired by Cadence Design Systems (USA),P,D
93,Crossword Bookstores,Retail,Specialty retailers,Mumbai,1992,Bookstore,P,A
94,CSB Bank,Financials,Banks,Thrissur,1920,Private bank,P,A
95,Cyient,Technology,Software & IT services,Hyderabad,1991,"Engineering outsourcing services, software management & technology consulting",P,A
96,Dabur,Health care,Ayurvedic producers,Ghaziabad,1884,Alternative medicines,P,A
97,Damodar Valley Corporation,Utilities,Conventional electricity,Kolkata,1948,Hydropower,S,A
98,Deccan Charters,Consumer services,Airlines,Bengaluru,1997,Charter airline,P,A
99,Dedicated Freight Corridor Corporation of India,Industrials,Railroads,New Delhi,2006,"Freight transport, part of Ministry of Railways (India)",S,A
100,Dempo,Basic materials,General mining,Panaji,1941,Mining,P,A
101,Dena Bank,Financials,Banks,Mumbai,1938,State bank,S,A
102,Dish TV,Consumer services,Broadcasting & entertainment,Noida,2003,Satellite television,P,A
103,Dixon Technologies,Industrials,Electronic equipment & components,Noida,1993,Electronics manufacturing services,P,A
104,DLF,Real estate,Real estate holding & development,New Delhi,1946,Developer,P,A
105,DMart,Retail,Diversified retailers,Mumbai,2002,Supermarkets,P,A
106,Dr. Reddy's Laboratories,Health care,Pharmaceuticals,Hyderabad,1984,Pharma,P,A
107,Dynamatic Technologies,Industrials,Industrial engineering,Bengaluru,1973,"Aerospace, automotive, hydraulics, security",P,A
108,EaseMyTrip,Consumer services,Travel & tourism,New Delhi,2008,Travel booking,P,A
109,Edelweiss Group,Financials,Financial services,Mumbai,1995,Finance & investment,P,A
110,Eicher Motors,Industrials,Commercial vehicles & parts,Gurugram,1948,"Bus, trucks",P,A
111,EID Parry,Consumer goods,Food products,Chennai,1788,"Sugar, distillery",P,A
112,Electronics Corporation of India Limited,Industrials,Electronic equipment & components,Hyderabad,1967,Nuclear electronics,S,A
113,eLitmus,Industrials,Business training & employment agencies,Bengaluru,2005,Assessment exam,P,A
114,Emami,Conglomerate,—,Kolkata,1974,"Fast-moving consumer goods, healthcare, retail, cement, real estate",P,A
115,Emcure Pharmaceuticals,Health care,Pharmaceuticals,Pune,1983,Pharma,P,A
116,Engineers India,Industrials,Engineering and contracting services,New Delhi,1965,Engineering and consulting,S,A
117,English Indian Clays,Basic materials,General mining,New Delhi,1963,Clay,P,A
118,Escorts Kubota Limited,Industrials,Industrial engineering,Faridabad,1960,"Heavy equipment, machines",P,A
119,Essar Group,Conglomerate,—,Mumbai,1969,"Steel, oil & gas, shipping, real estate",P,A
120,Essel Group,Conglomerate,—,Mumbai,1926,"Media, technology, basic materials",P,A
121,Eureka Forbes,Consumer goods,Consumer electronics,Mumbai,1982,Home appliances,P,A
122,Eveready Industries India,Consumer goods,Durable household products,Kolkata,1905,"Batteries, flashlights, lamps",P,A
123,Exide Industries,Industrials,Electrical equipment & components,Kolkata,1947,Batteries,P,A
124,Exide Life Insurance,Financials,Life insurance,Bengaluru,2001,"Life insurance, part of Exide Industries",P,A
125,Federal Bank,Financials,Banks,Kochi,1931,Private bank,P,A
126,Firstsource,Industrials,Business support services,Mumbai,2001,BPO,P,A
127,Flipkart,Technology,Consumer digital services,Bengaluru,2007,E-commerce,P,A
128,Forbes & Company Limited,Conglomerate,—,Mumbai,1767,"Banking kiosk, ATM, robotics, industrial automation, logistics, part of Shapoorji Pallonji Group",P,A
129,Force Motors,Consumer goods,Automobiles,Pune,1958,Automotive,P,A
130,Fortis Healthcare,Health care,Health care providers,Gurugram,2001,Hospitals,P,A
131,Future Group,Retail,Diversified retailers,Mumbai,1987,"Defunct 2022, acquired by Reliance Industries",P,D
132,GAIL,Utilities,Gas distribution,New Delhi,1984,Natural gas,S,A
133,Galaxy Surfactants,Chemicals,Specialty chemicals,Navi Mumbai,1980,Chemicals,P,A
134,Garden Reach Shipbuilders & Engineers,Industrials,Shipbuilding,Kolkata,1884,Ship building,S,A
135,Geojit Financial Services,Financials,Investment services,Kochi,1987,Investment advisory services,P,A
136,Gini & Jony,Consumer goods,Clothing & accessories,Mumbai,1980,Children's clothes,P,A
137,Glenmark Pharmaceuticals,Health care,Pharmaceuticals,Mumbai,1977,Pharma,P,A
138,Gliders India,Industrials,Defense,Nagpur,2021,Military parachute manufacturer,S,A
139,GMR Group,Real estate,Real estate holding & development,New Delhi,1978,Development projects,P,A
140,Go First,Consumer services,Airlines,Mumbai,2005,Low-cost airline,P,A
141,Goa Shipyard,Industrials,Shipbuilding,Goa,1957,Ship building,S,A
142,Godrej Group,Conglomerate,—,Mumbai,1897,"Aerospace, consumer goods, real estate",P,A
143,Great Eastern Shipping,Industrials,Marine transportation,Mumbai,1948,Shipping,P,A
144,Greaves Cotton,Industrials,Industrial engineering,Mumbai,1859,"Engines, gensets, construction equipment, farm equipment & pumps",P,A
145,Greenply,Industrials,Building materials: other,Tinsukia,1990,Plywood,P,A
146,Gujarat Alkalies and Chemicals Limited,Chemicals,Specialty chemicals,Noida,1973,Produce chemicals,S,A
147,Gujarat Mineral Development Corporation,Basic materials,General mining,Ahmedabad,1963,"Mining, metals",S,A
148,Gujarat State Fertilizers and Chemicals,Chemicals,Fertilizers,Vadodara,1962,Fertilizers,S,A
149,Gujarat State Petroleum Corporation,Energy,Oil refining & marketing,Ahmedabad,1979,Petrochemicals refining,S,A
150,GVK Industries,Conglomerate,—,Hyderabad,2005[5],"Energy, transportation, hospitality",P,A
151,Haldiram's,Consumer goods,Food products,Bikaner,1937,Sweets and snacks,P,A
152,Haptik,Technology,Software,Mumbai,2013,"AI Software, part of Jio Platforms",P,A
153,Hatsun Agro Product,Consumer goods,Food products,Chennai,1970,"Arun Icecreams, Arokya Milk, Hatsun Daily, Ibaco, Oyalo, Santosa",P,A
154,Havells,Industrials,Electrical equipment & components,Noida,1958,Electrical equipment,P,A
155,Hawkins Cookers,Consumer goods,Durable household products,Mumbai,1921,Cookware,P,A
156,HCLTech,Industrials,Business support services,Noida,1976,Consulting,P,A
157,HDFC Bank,Financials,Banks,Mumbai,1994,Bank,P,A
158,Hero Cycles,Consumer goods,Recreational products,Ludhiana,1956,"Bicycles, part of Hero Motors",P,A
159,Hero FinCorp,Financials,Financial services,New Delhi,1991,"Financing, part of Hero MotoCorp",P,A
160,Hero MotoCorp,Consumer goods,Automobiles,Gurugram,1984,"Motorcycles, part of Hero Motors",P,A
161,HFCL,Telecommunications,Telecommunications equipment,New Delhi,1987,"Optical fiber, telecom equipment",P,A
162,Himalaya Wellness Company,Health care,Ayurvedic producers,Bengaluru,1930,Alternative medicines,P,A
163,Hindalco Industries,Basic materials,Aluminium,Mumbai,1958,Aluminium,P,A
164,Hinduja Group,Conglomerate,—,Mumbai,1914,"Automotive, financial services, energy, media, telecom, healthcare",P,A
165,Hinduja Healthcare,Health care,Health care providers,Mumbai,?,"Hospitals, part of Hinduja Group",P,A
166,Hindustan Aeronautics Limited,Industrials,Aerospace & defense,Bengaluru,1940,"State-owned aircraft, defense",S,A
167,Hindustan Construction Company,Real estate,Real estate holding & development,Mumbai,1926,Real estate development,P,A
168,Hindustan Copper,Basic materials,Copper,Kolkata,1967,State-run mining,S,A
169,Hindustan Motors,Consumer goods,Automobiles,Kolkata,1942,"Automotive, part of CK Birla Group",P,A
170,Hindustan Petroleum,Energy,Oil refining & marketing,Mumbai,1974,"refineries, part of Oil and Natural Gas Corporation",S,A
171,Hindustan Shipyard,Industrials,Shipbuilding,Visakhapatnam,1941,Ship building,S,A
172,Hindustan Times,Consumer services,Publishing,New Delhi,1924,Daily newspaper,P,A
173,Hindustan Zinc,Basic materials,Nonferrous metals,Udaipur,1966,"Zinc mining, part of Vedanta Resources (UK)",P,A
174,HLL Lifecare,Health care,"Pharmaceuticals, Medical equipment",Thiruvananthapuram,1966,"State-owned condoms, contraceptives & surgical equipment manufacturing",S,A
175,HMT Limited,Industrials,Diversified industrials,Bengaluru,1953,State-owned manufacturing,S,A
176,Housing Development Finance Corporation,Financials,Financial services,Mumbai,1977,Housing finance,P,A
177,iball,Consumer goods,Consumer electronics,Mumbai,2001,"Computers, consumer items",P,A
178,ICICI Bank,Financials,Banks,Mumbai,1994,International bank,P,A
179,IDBI Bank,Financials,Banks,Mumbai,1964,State bank,S,A
180,IDFC First Bank,Financials,Banks,Mumbai,2015,Part of IDFC,P,A
181,Indegene,Health care,Health care services,Bengaluru,1998,Pharmaceutical consultancy,P,A
182,India Cements,Industrials,Cement,Tirunelveli,1946,Cement,P,A
183,India Optel,Industrials,Electronic equipment & components,Dehradun,2021,"Opto-electronics, defense products",S,A
184,Indiabulls,Financials,Financial services,Gurugram,2000,Finance,P,A
185,India Infoline,Financials,Financial services,Mumbai,1995,Financial services,P,A
186,Indian Bank,Financials,Banks,Chennai,1907,State-owned financial services,S,A
187,Indian Hotels Company Limited,Consumer services,Hotels & motels,Mumbai,1902,"Hospitality group, Taj Hotels, Vivanta, Ginger Hotels, part of Tata Sons",P,A
188,Indian Oil Corporation,Energy,Oil refining & marketing,New Delhi,1959,Petrochemicals refining,S,A
189,Indian Overseas Bank,Financials,Banks,Chennai,1937,Public bank,S,A
190,Indian Railway Finance Corporation,Financials,Financial services,New Delhi,1976,"Railway finance, part of Indian Railways",S,A
191,Indian Railways,Industrials,Railroads,New Delhi,1853,State railway,S,A
192,Indian Railway Stations Development Corporation,Industrials,Railroads,New Delhi,2012,Railway station redevelopment,P,D
193,Indian Telephone Industries Limited,Telecommunications,Telecommunications equipment,Bengaluru,1949,State telecom equipment,S,A
194,IndiGo,Consumer services,Airlines,Gurugram,2006,Low-cost airline,P,A
195,IndusInd Bank,Financials,Banks,Mumbai,1994,Bank,P,A
196,Infibeam,Technology,Consumer digital services,Ahmedabad,2007,"E-commerce, fintech",P,A
197,Infosys,Industrials,Business support services,Bengaluru,1981,Consulting,P,A
198,Infrastructure Development Finance Company,Financials,Asset managers,Chennai,1997,"Finance, advice",S,A
199,Infrastructure Leasing & Financial Services,Financials,Financial services,Mumbai,1987,Infrastructure development,S,A
200,InMobi,Technology,Consumer digital services,Bengaluru,2007,Online marketing,P,A
201,Inox Air Products,Basic materials,Specialty chemicals,Mumbai,1963,Industrial gases manufacturer & trader,P,A
202,Integral Coach Factory,Industrials,Railroad equipment,Chennai,1955,Part of Indian Railways,S,A
203,Intelenet Global Services,Industrials,Business support services,Mumbai,2000,"Consulting, BPO",P,A
204,Intex Technologies,Consumer goods,Consumer electronics,New Delhi,1996,"Consumer electronics, mobile handsets",P,A
205,Ircon International,Industrials,Construction,New Delhi,1976,"Railway constructions, part of Indian Railways",S,A
206,ITC Limited,Conglomerate,—,Kolkata,1910,"Consumer goods, hotels, industrials",P,A
207,Ittiam Systems,Technology,Software & IT services,Bengaluru,2001,Digital signal processing services,P,A
208,Jabong.com,Technology,Consumer digital services,Gurugram,2012,"E-commerce portal, defunct 2020",P,D
209,Jain Irrigation Systems,Industrials,Agricultural & farm machinery,Jalgaon,1986,Irrigation equipment,P,A
210,Jakson Group,Industrials,Industrial engineering,Noida,1947,"Diesel generators, solar PV modules",P,A
211,Jawa Motorcycles,Consumer goods,Automobiles,Mysuru,1960,"Motorcycles, joint venture of Mahindra & Mahindra & Jawa Moto (Czechia)",P,A
212,ISRO,Industrials,"Aerospace, space industry",Bengaluru,1962,"State-owned aerospace research, launch vehicles & satellites",S,A
213,Jaypee Group,Conglomerate,—,Noida,1979,"Engineering, real estate, cement",P,A
214,Jet Airways,Consumer services,Airlines,Mumbai,1992,Revived in 2022,P,A
215,Jio-bp,Energy,Integrated oil & gas,Ahmedabad,2008,"Oil & gas exploration and production, joint venture of Reliance Industries & BP (UK)",P,A
216,Jio,Telecommunications,Telecommunications services,Navi Mumbai,2007,"Mobile network, part of Jio Platforms",P,A
217,Jio Platforms,Conglomerate,—,Navi Mumbai,2019,"Telecommunications, e-commerce, media, streaming, online services, virtual reality, part of Reliance Industries",P,A
218,Jindal Stainless,Basic materials,Iron & steel,New Delhi,1970,Steel,P,A
219,Jindal Steel and Power,Basic materials,Iron & steel,New Delhi,1952,Steel,P,A
220,Jupiter Wagons,Railways,Railroad equipment,Kolkata,1979,Railways,P,A
221,JSW Energy,Utilities,Conventional electricity,Mumbai,1994,"Hydropower & thermal power, part of JSW Group",P,A
222,JSW Group,Conglomerate,—,Mumbai,1982,"Automotive, steel, energy, infrastructure, cement, paint, financials",P,A
223,JSW MG Motor India,Consumer goods,Automobiles,Gurugram,2017,"Automotive, joint venture of JSW Group & SAIC Motor (China)",P,A
224,JSW Steel,Basic materials,Iron & steel,Mumbai,1982,"Steel, part of JSW Group",P,A
225,Jubilant FoodWorks,Consumer services,Restaurants & bars,Noida,1995,Food services,P,A
226,K Raheja Corp,Real estate,Real estate holding & development,Mumbai,1956,"IT Parks, parent company of Raheja Mindspace",P,A
227,Kalyani Group,Conglomerate,—,Pune,?,"Engineering, steel, automotive, defense, energy, infrastructure",P,A
228,Karbonn Mobiles,Consumer goods,Consumer electronics,New Delhi,2009,Mobile handsets,P,A
229,Karnataka Bank,Financials,Banks,Mangaluru,1924,Bank,P,A
230,Karur Vysya Bank,Financials,Banks,Karur,1916,Bank,P,A
231,Kerala Automobiles Limited,Consumer goods,Automobiles,Thiruvananthapuram,1978,Auto-rickshaws,P,A
232,Kerala Electrical and Allied Engineering Company,Industrials,Electrical equipment & components,Kochi,1964,Heavy electricals,S,A
233,Khadim's,Consumer goods,Footwear,Kolkata,1981,Footwear,P,A
234,Kingfisher,Consumer goods,Brewery,Bengaluru,1857,"Alcoholic beverages, brewery, part of United Breweries Group (Netherlands)",P,A
235,Kirloskar Group,Conglomerate,—,Pune,1888,"Industrials, construction, automotive",P,A
236,Kokuyo Camlin,Consumer goods,Nondurable household products,Mumbai,1931,"Pens, stationery",P,A
237,Konkan Railway Corporation,Industrials,Railroads,Navi Mumbai,1990,"Railway, part of Indian Railways",S,A
